Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
A19,,c1,Unknown,,,,,,,,,,,,,
A20,,c1,Unknown,,,,,,,,,,,,,
A21,,c1,Unknown,,,,,,,,,,,,,
A22,,scr1,Unknown,,,,,,,,,,,,,
A23,,scr1,Unknown,,,,,,,,,,,,,
A24,,scr1,Unknown,,,,,,,,,,,,,
B1,,c1,Unknown,,,,,,,,,,,,,
B2,,c1,Unknown,,,,,,,,,,,,,
B3,,c1,Unknown,,,,,,,,,,,,,
B4,,scr1,Unknown,,,,,,,,,,,,,
B5,,scr1,Unknown,,,,,,,,,,,,,
B6,,scr1,Unknown,,,,,,,,,,,,,
B7,,LsiG1,Unknown,,,,,,,,,,,,,
B8,,LsiG1,Unknown,,,,,,,,,,,,,
B9,,LsiG1,Unknown,,,,,,,,,,,,,
B10,,c1,Unknown,,,,,,,,,,,,,
B11,,c1,Unknown,,,,,,,,,,,,,
B12,,c1,Unknown,,,,,,,,,,,,,
B13,,scr1,Unknown,,,,,,,,,,,,,
B14,,scr1,Unknown,,,,,,,,,,,,,
B15,,scr1,Unknown,,,,,,,,,,,,,
B16,,LsiG1,Unknown,,,,,,,,,,,,,
B17,,LsiG1,Unknown,,,,,,,,,,,,,
B18,,LsiG1,Unknown,,,,,,,,,,,,,
B19,,c1,Unknown,,,,,,,,,,,,,
B20,,c1,Unknown,,,,,,,,,,,,,
B21,,c1,Unknown,,,,,,,,,,,,,
B22,,scr1,Unknown,,,,,,,,,,,,,
B23,,scr1,Unknown,,,,,,,,,,,,,
B24,,scr1,Unknown,,,,,,,,,,,,,
C1,,c2,Unknown,,GAPDH,,15.15,,15.18,,0,0.044,,0,,
C2,,c2,Unknown,,GAPDH,,15.79,,15.18,,0,0.044,,0,,
C3,,c2,Unknown,,GAPDH,,14.61,,15.18,,0,0.044,,0,,
C4,,scr2,Unknown,,GAPDH,,15.43,,15.59,,0,0.1476,,0,,
C5,,scr2,Unknown,,GAPDH,,15.77,,15.59,,0,0.1476,,0,,
C6,,scr2,Unknown,,GAPDH,,15.56,,15.59,,0,0.1476,,0,,
C7,,LsiG2,Unknown,,GAPDH,,16.14,,16.73,,0,10.3126,,0,,
