Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
F8,,LsiG3,Unknown,,,,,,,,,,,,,
F9,,LsiG3,Unknown,,,,,,,,,,,,,
F10,,c3,Unknown,IL-10,,32.97,,32.73,,0,,0,0,,0,-17.06
F11,,c3,Unknown,IL-10,,31.97,,32.73,,0,,0,0,,0,-17.06
F12,,c3,Unknown,IL-10,,33.26,,32.73,,0,,0,0,,0,-17.06
F13,,scr3,Unknown,IL-10,,28.46,,28.31,,0,,0.0002,0,,0.0001,-12.47
F14,,scr3,Unknown,IL-10,,28.69,,28.31,,0,,0.0002,0,,0.0001,-12.47
F15,,scr3,Unknown,IL-10,,27.78,,28.31,,0,,0.0002,0,,0.0001,-12.47
F16,,LsiG3,Unknown,IL-10,,28.01,,27.66,,0,,0.0015,0,,0.0005,-9.35
F17,,LsiG3,Unknown,IL-10,,27.58,,27.66,,0,,0.0015,0,,0.0005,-9.35
F18,,LsiG3,Unknown,IL-10,,27.39,,27.66,,0,,0.0015,0,,0.0005,-9.35
F19,,c3,Unknown,,,,,,,,,,,,,
F20,,c3,Unknown,,,,,,,,,,,,,
F21,,c3,Unknown,,,,,,,,,,,,,
F22,,scr3,Unknown,,,,,,,,,,,,,
F23,,scr3,Unknown,,,,,,,,,,,,,
F24,,scr3,Unknown,,,,,,,,,,,,,
